Day,High(t-1), Low (t-1), Closing(t-1) , No. of Trades (t-1), No. of Shares (t-1), Turnover(t-1) , Closing ,
1/2/2012,199.9,194.9,195.3,42,58000,11312630,197,
1/3/2012,197,196,197,9,1900,374000,195,
1/4/2012,196.1,195,195,16,5100,994720,194.9,
1/5/2012,195,194.9,194.9,16,13500,2631840,194.5,
1/6/2012,195.1,194.1,194.5,20,24400,4755350,191,
1/9/2012,194.5,191,191,24,8600,1652220,189.1,
1/10/2012,191,189,189.1,28,13400,2544940,189.2,
1/11/2012,190,189,189.2,30,24600,4663810,189.7,
1/12/2012,190,187,189.7,33,24300,4591390,190,
1/13/2012,190,190,190,16,7100,1349000,187.3,
1/17/2012,195,187.1,187.3,34,39100,7430550,185.6,
1/18/2012,190,180,185.6,62,37700,7006300,180.3,
1/19/2012,186,180,180.3,31,22600,4095150,180,
1/20/2012,187.9,180,180,42,14500,2613070,175,
1/23/2012,184.9,175,175,56,69600,12205390,173.6,
1/24/2012,180,170.2,173.6,60,50800,8798530,174.8,
1/25/2012,178,170.1,174.8,23,15300,2688440,169.9,
1/26/2012,174,169.5,169.9,62,64900,11053510,178.6,
1/27/2012,179.9,174,178.6,80,153800,26945700,190.5,
1/30/2012,193,180,190.5,152,189200,35768000,189,
1/31/2012,190.1,185.5,189,55,28600,5394730,190,
2/1/2012,190,186,190,34,18700,3541800,188,
2/2/2012,190,187,188,35,34600,6536610,185,
2/3/2012,186.1,185,185,15,8500,1574610,185.8,
2/6/2012,186,180,185.8,14,6400,1186310,182.7,
2/8/2012,188,181,182.7,17,7100,1293650,176.8,
2/9/2012,184,173,176.8,23,12100,2146900,179.3,
2/13/2012,185,169,179.3,87,52100,9150330,170,
2/14/2012,172,170,170,85,371100,63117320,172.3,
2/15/2012,174,170,172.3,38,21700,3700500,177.8,
2/16/2012,178,172.4,177.8,27,20500,3620880,178.1,
2/17/2012,180,175,178.1,42,17000,3036660,177.7,
2/21/2012,179.5,175.2,177.7,14,3300,585770,180.5,
2/22/2012,181,176.5,180.5,32,84900,15263430,187.6,
2/23/2012,188,180,187.6,55,37600,6916770,190,
2/24/2012,193.5,176.5,190,67,112000,21270360.9,189,
2/27/2012,190,186.1,189,63,494079,93538491,185,
2/28/2012,188.9,184,185,18,4137,766480.6,186.1,
2/29/2012,186.2,182.7,186.1,8,1264,234994.6,184.2,
3/1/2012,186.2,181.3,184.2,33,27038,5020166,182.1,
3/2/2012,185,181,182.1,33,11116,2024351,176.3,
3/5/2012,182,175,176.3,24,9319,1642316.4,181.5,
3/6/2012,182,180,181.5,21,12802,2315933,181.5,
3/8/2012,182,181,181.5,14,12326,2236654,181.7,
3/9/2012,183,181,181.7,19,9214,1673012,182.8,
3/12/2012,182.9,181.9,182.8,16,7436,1354302.1,185.1,
3/13/2012,185.9,182.1,185.1,48,24448,4519274.6,184.5,
3/14/2012,187.5,184,184.5,22,12005,2218240.5,185.2,
3/15/2012,185.2,185,185.2,11,7611,1409173.4,185.7,
3/16/2012,187.1,185,185.7,38,11728,2176857.5,187,
3/19/2012,187.4,185,187,61,61053,11397263.9,187.6,
3/20/2012,188,185.1,187.6,49,92427,17336168.5,187.3,
3/21/2012,188,187,187.3,30,18182,3408535,187,
3/22/2012,187.6,186.5,187,54,82543,15452730.9,187.1,
3/23/2012,188.5,187,187.1,27,37386,6995800.2,185.7,
3/26/2012,187.5,185,185.7,18,3643,679878.9,184.9,
3/27/2012,187.5,184,184.9,24,24581,4548242.8,176.8,
3/28/2012,180,175,176.8,660,310614,54719757.5,178.2,
3/29/2012,178.9,176,178.2,216,144130,25631147.3,179.8,
3/30/2012,182,177.7,179.8,155,92018,16502502.6,172.6,
4/2/2012,177.5,170,172.6,178,134041,23103529,174.1,
4/3/2012,175,171.5,174.1,150,89642,15502602.5,175,
4/4/2012,176,173,175,59,27417,4798259.2,175.8,
4/5/2012,176.9,174,175.8,82,40522,7095715,175.1,
4/9/2012,176.9,173.1,175.1,64,30038,5256871.2,175.1,
4/10/2012,176,174.1,175.1,46,13545,2362908,175.6,
4/11/2012,176.5,175,175.6,31,9948,1746285.5,176.7,
4/16/2012,177,175,176.7,79,29685,5233018.8,177.9,
4/17/2012,178,177,177.9,103,54972,9738782.4,178.3,
4/18/2012,179,176,178.3,65,34733,6168129.5,179.8,
4/19/2012,180,178,179.8,139,60156,10782859.3,178.7,
4/20/2012,180,178.5,178.7,41,22103,3968056.3,179,
4/23/2012,179,178,179,35,16182,2895170,179.2,
4/24/2012,179.9,178,179.2,100,60341,10804359.1,179.6,
4/25/2012,180,178,179.6,61,67265,12095691.9,178,
4/26/2012,179.5,175.2,178,52,21375,3797705.6,178.1,
4/27/2012,178.4,176,178.1,41,28191,5019637.9,177.8,
4/30/2012,179,177,177.8,35,12590,2235444.5,177,
5/2/2012,178,177,177,27,10600,1881881.7,174.6,
5/3/2012,177,174.5,174.6,118,475675,83892315.5,172.6,
5/4/2012,174,172.1,172.6,48,16681,2880092.3,168.5,
5/8/2012,173.5,168.1,168.5,92,36298,6176724.2,168.6,
5/9/2012,170,168,168.6,90,31970,5399869,165.1,
5/10/2012,170,165,165.1,65,27905,4642174,166.2,
5/11/2012,169.8,165.2,166.2,62,17413,2894289.6,166.5,
5/14/2012,171,166,166.5,41,37113,6251771.2,168.1,
5/15/2012,169,166.5,168.1,41,28949,4881846.3,167.2,
5/16/2012,170,167,167.2,84,658005,109942065.5,168.2,
5/17/2012,170,167,168.2,22,9835,1654885.8,168.7,
5/18/2012,169,168,168.7,22,5146,866527.5,167.5,
5/21/2012,169,167.5,167.5,40,16437,2764087.7,166,
5/22/2012,169,165.5,166,47,14021,2339864.2,165,
5/23/2012,166,164.2,165,39,20593,3408748.2,163,
5/24/2012,165,163,163,16,2951,483589.7,163,
5/25/2012,163.5,163,163,32,18816,3068126,161.4,
5/28/2012,163,159,161.4,44,276471,44247690.9,159.3,
5/29/2012,160,158.2,159.3,46,27854,4435239.7,155,
5/30/2012,160,154.6,155,85,59340,9285549.1,153,
5/31/2012,156,150,153,42,28854,4370005.6,151.9,
6/1/2012,153,150.6,151.9,38,13910,2116297.2,150.2,
6/5/2012,153,150.1,150.2,49,39833,6010565.4,148.5,
6/6/2012,151,148.5,148.5,82,30542,4556199.5,149,
6/7/2012,149.9,148.5,149,64,24887,3708235.4,151.6,
6/8/2012,153,149,151.6,62,28559,4290344,152.9,
6/11/2012,154,151.6,152.9,37,19116,2924584.2,156,
6/12/2012,160,152.5,156,43,22213,3452680.2,157,
6/13/2012,159.9,155.5,157,28,13068,2048846.7,156.7,
6/14/2012,158,156,156.7,35,27195,4255613,157.5,
6/15/2012,159.8,157,157.5,54,15484,2449651.9,156.7,
6/18/2012,158,155,156.7,45,27374,4263401.1,156.8,
6/19/2012,159.4,155.5,156.8,24,12535,1963951.7,157.4,
6/20/2012,157.9,156.8,157.4,49,19052,2993145.2,156.7,
6/21/2012,158,156,156.7,30,13309,2088077.9,156,
6/22/2012,158,156,156,3,720,113010,155,
6/25/2012,157.9,154.5,155,16,5700,884031.1,152.2,
6/26/2012,157,150.1,152.2,26,123565,18588447,153,
6/27/2012,153,153,153,19,9725,1487925,151.1,
6/28/2012,155,150.4,151.1,42,22438,3391333.1,152,
6/29/2012,154.4,150.3,152,20,1277,193211.8,153.9,
7/2/2012,154,151,153.9,6,1396,214732.1,152.6,
7/4/2012,154,150,152.6,39,11940,1813407.3,151,
7/5/2012,152.1,150.1,151,15,3773,569315.2,152,
7/6/2012,152,150.2,152,11,1453,220118.4,150.6,
7/9/2012,151.5,150,150.6,39,10000,1508945.3,150.1,
7/10/2012,153,150,150.1,50,53053,8067367.5,150.1,
7/11/2012,151,150,150.1,21,9667,1450490.3,150.2,
7/12/2012,151,150,150.2,30,164680,24718507.3,150,
7/13/2012,151,150,150,34,31237,4695432,149.1,
7/16/2012,151,149,149.1,54,37337,5599990.6,149.1,
7/17/2012,150,149.1,149.1,75,278228,41603693.1,150.1,
7/18/2012,150.1,149,150.1,93,1118216,166773493,150,
7/19/2012,151.9,149.5,150,76,1654811,248234957.3,150.6,
7/20/2012,150.6,150.2,150.6,9,25767,3874617.7,151.2,
7/23/2012,152.3,150,151.2,39,24384,3685184.8,152,
7/24/2012,152.3,151,152,21,7872,1194107.2,152.7,
7/25/2012,153,151,152.7,30,16267,2467759.6,151.7,
7/26/2012,152,151,151.7,16,5855,887825.3,152.4,
7/27/2012,153,151.5,152.4,28,6869,1043141.2,152.6,
7/30/2012,154,152.5,152.6,36,25225,3849850,152.5,
7/31/2012,153,152.5,152.5,26,10315,1573304,154,
8/2/2012,154,152.2,154,35,59497,9159169.9,154,
8/3/2012,154.8,153,154,39,61711,9500801,155,
8/6/2012,155,153,155,27,8200,1266104.1,155.1,
8/7/2012,156,153,155.1,16,55010,8523624.9,156,
8/8/2012,158.5,155,156,60,31667,4949446.7,160,
8/9/2012,160.2,156,160,93,691316,110017651.3,160.6,
8/10/2012,162,160,160.6,50,41564,6660013,160.2,
8/13/2012,161,160,160.2,66,148037,23687355.5,164.7,
8/14/2012,169,160,164.7,124,116108,18851004,167.8,
8/15/2012,168.9,164,167.8,158,158835,26551278.7,165.1,
8/16/2012,167.8,164,165.1,28,14918,2470162,165,
8/17/2012,166.1,162.5,165,31,13476,2219550,165,
8/20/2012,165.8,163,165,44,16996,2801147.3,166,
8/21/2012,166.5,164,166,39,85022,14078343.1,171.4,
8/22/2012,172.5,166.5,171.4,133,133911,22695995.4,178.1,
8/23/2012,179,172.5,178.1,262,255627,45408273.8,175.9,
8/24/2012,178.5,174,175.9,72,23287,4119045,178,
8/27/2012,178.4,175.9,178,59,51454,9127610.1,177.8,
8/28/2012,179,177,177.8,52,40307,7174897,178,
8/29/2012,178.4,178,178,51,37689,6709016.9,178,
8/30/2012,178.8,176,178,44,64346,11452690.2,179.8,
9/3/2012,181,177.5,179.8,88,53824,9657008.9,188.6,
9/4/2012,189.1,179,188.6,146,414834,77332197.2,188.6,
9/5/2012,192,188,188.6,136,136606,25944916.5,190,
9/6/2012,190.9,186,190,107,152669,28952405.5,195.6,
9/7/2012,196,190,195.6,254,1755464,342195729.2,205.1,
9/10/2012,207.5,192,205.1,243,304543,62104977.5,205,
9/11/2012,209.9,204,205,149,126208,26042427.9,204.9,
9/12/2012,206,201,204.9,80,289256,59218677,208.6,
9/13/2012,209.5,205,208.6,121,143711,29787581.7,211,
9/14/2012,211.5,208.1,211,180,155868,32753834.9,215,
9/17/2012,215.5,210,215,161,636619,134257970.4,214.9,
9/18/2012,215.3,210,214.9,109,355875,76381529.9,211.6,
9/19/2012,214.1,208.9,211.6,197,225424,47468508.1,211.6,
9/20/2012,212.5,210,211.6,106,94385,19897357.5,211.4,
9/21/2012,212,210,211.4,73,124182,26191952.9,211.3,
9/24/2012,212.5,211,211.3,64,94821,20017216.9,212.3,
9/25/2012,212.8,210,212.3,74,328651,69373031.4,212,
9/26/2012,212.1,211,212,43,30473,6455543.3,214.2,
9/27/2012,215,211,214.2,74,299416,64059237.7,215.7,
9/28/2012,216,213.1,215.7,61,46403,9984953,213,
10/1/2012,214.9,212.2,213,20,1977,421381.2,214.3,
10/2/2012,216,210.2,214.3,82,47581,10149544.3,210.1,
10/3/2012,215,210,210.1,104,8046461,1690034494,210.9,
10/4/2012,213,207.5,210.9,51,12495,2616241.9,211.2,
10/5/2012,211.7,208,211.2,33,10237,2156203.3,208,
10/8/2012,212,208,208,34,11113,2313660.5,208,
10/9/2012,210,207.9,208,30,11430,2380982.4,208.8,
10/10/2012,209,207,208.8,22,2727,567339.1,203.9,
10/11/2012,206,200.1,203.9,76,67553,13674373.8,206.1,
10/12/2012,207,202,206.1,34,15952,3274208.1,200,
10/15/2012,206,200,200,51,142850,28582971.8,197.7,
10/16/2012,204.5,197,197.7,56,119503,23779445.2,198,
10/17/2012,199.5,196,198,28,10840,2144704.9,200.5,
10/18/2012,201,198,200.5,30,21782,4354022,200.3,
10/19/2012,201,200,200.3,30,14262,2865472,199,
10/22/2012,200.5,199,199,27,5825,1163438,199.3,
10/23/2012,200,198,199.3,32,16830,3353453.2,199,
10/24/2012,199.4,198.5,199,12,3356,668041.5,200,
10/25/2012,200,199,200,16,18517,3692823.8,196.1,
10/26/2012,199.8,196,196.1,28,5667,1121084.7,194,
10/30/2012,199.7,194,194,22,2671,522416.1,194.7,
10/31/2012,198.7,193,194.7,30,13600,2664328,193.5,
11/1/2012,196,193.5,193.5,17,14261,2774746,199.3,
11/2/2012,200,195,199.3,24,7941,1576297.1,196.9,
11/5/2012,199.3,196.1,196.9,19,1617,319943.4,196.7,
11/6/2012,197,196,196.7,53,10358,2031575.9,197,
11/7/2012,199,195,197,68,29849,5865119,196,
11/8/2012,197.9,195.3,196,40,12411,2430712.2,196,
11/9/2012,196.9,195,196,30,14065,2756884.7,195.1,
11/12/2012,196,194.9,195.1,23,7939,1548732.9,196.8,
11/14/2012,197,195,196.8,30,16311,3192400,194.1,
11/15/2012,196,194,194.1,31,7060,1371939.5,195,
11/16/2012,195.1,194,195,33,22460,4377304.4,193.5,
11/19/2012,195,193,193.5,36,20183,3906234.6,188.6,
11/20/2012,193.9,185.5,188.6,31,58220,11021981.5,186.3,
11/21/2012,190,186,186.3,25,6841,1278276.5,187,
11/22/2012,189.7,185.1,187,44,261372,48723460.7,187,
11/23/2012,187.5,187,187,25,3766,704522.7,186.7,
11/26/2012,188,186,186.7,19,13325,2490874.5,186,
11/28/2012,187.1,185.1,186,25,8376,1560495.5,186,
11/29/2012,186,185.5,186,36,18350,3412288.4,185.6,
11/30/2012,186,184,185.6,45,20871,3870659.7,186,
12/3/2012,186,185.8,186,25,15660,2910612.5,185.7,
12/4/2012,188,185.7,185.7,6,1102,205039.7,186,
12/5/2012,186,185,186,16,3834,712615.5,190,
12/6/2012,190,185,190,36,40047,7602671,191,
12/7/2012,191,190,191,14,2833,538320,188.3,
12/10/2012,191,188,188.3,16,5129,967199.3,188.8,
12/11/2012,189,188,188.8,22,10575,1994375.9,191,
12/12/2012,192,189,191,30,14517,2764661,200,
12/13/2012,201,192,200,132,256666,51313172.9,200,
12/14/2012,200.8,199,200,51,40297,8052749.4,200.1,
12/17/2012,201,199,200.1,51,51225,10245185.5,200,
12/18/2012,201,200,200,137,848976,170001814,200,
12/19/2012,202,200,200,71,78715,15765802.3,200,
12/20/2012,201.7,200,200,29,18088,3624854.2,199,
12/21/2012,200,199,199,33,15621,3111604.5,199.5,
12/24/2012,202,199,199.5,30,14276,2847152.6,200.1,
12/26/2012,202.5,200,200.1,9,3782,756414.5,201,
12/28/2012,201,200,201,21,455903,91620714.5,200.5,
,,,,,,,,
